Genus,Species,Body weight (g),Brain weight (g),Total length (cm)
Nannobrachium,atrum,5,0.0362,11.5
Nannobrachium,lineatum,20,0.0422,
Notoscopelus,caudispinosus,9,0.0756,
Stenobrachius,leucopsarus,4.7,0.025,8.5
Stenobrachius,leucopsarus,5,0.0368,
Notacanthus,bonaparte,44,0.079,
Notacanthus,bonaparte,75,0.12,
Notacanthus,bonaparte,85,0.152,
Notacanthus,bonaparte,105,0.166,
Notacanthus,bonaparte,125,0.149,
Notacanthus,bonaparte,250,0.194,
Notacanthus,chemnitzii,4500,0.812,
Carapus,mourlani,13.3,0.0093,21
Echiodon,drummondii,16,0.031,30
Acanthonus,armatus,180,0.0487,
Acanthonus,armatus,183,0.046,
Acanthonus,armatus,161,0.035,
Acanthonus,armatus,138,0.035,
Acanthonus,armatus,83,0.029,
Acanthonus,armatus,62,0.028,
Acanthonus,armatus,35,0.023,
Acanthonus,armatus,25,0.02,
Acanthonus,armatus,20.5,0.018,
Acanthonus,armatus,23.6,0.017,
Acanthonus,armatus,13.6,0.015,
Acanthonus,armatus,15.5,0.014,
Acanthonus,armatus,7.4,0.013,
Acanthonus,armatus,5,0.011,
Acanthonus,armatus,7.4,0.01,
Acanthonus,armatus,5.6,0.007,
Acanthonus,armatus,2.3,0.0062,
Brotula,barbata,1.2,0.02,
Brotula,multibarbata,344.3,0.418,
Xenodermichthys,copei,38,0.0752,
Xenodermichthys,copei,27.93,0.064,
Argentina,silus,137,0.34,26.5
Argentina,silus,170,0.474,32.5
Argentina,silus,230,0.458,
Argentina,silus,270,0.676,
Argentina,silus,340,0.422,35
Argentina,silus,530,0.588,40
Argentina,sphyraena,50,0.195,
Argentina,sphyraena,60,0.226,23
Argentina,sphyraena,92,0.19,24
Opisthoproctus,soleatus,7.9,0.026,
Mallotus,villosus,19.6,0.081,
Mallotus,villosus,22,0.089,
Mallotus,villosus,22.7,0.096,
Mallotus,villosus,29,0.111,
Osmerus,mordax,47.66,0.109,
Osmerus,mordax,74,0.116,
Osmerus,mordax,75,0.127,
Alepocephalus,bairdii,1400,0.722,
Alepocephalus,bairdii,1500,0.573,
Alepocephalus,bairdii,2050,0.908,
Alepocephalus,bairdii,2620,1.004,
Alepocephalus,rostratus,720,0.466,
Alepocephalus,rostratus,815,0.414,
Alepocephalus,rostratus,910,0.471,
Alepocephalus,rostratus,1180,0.493,
Arapaima,gigas,496,1.142,
Heterotis,niloticus,343.3,1.6,
Gnathonemus,longibarbis,31.55,0.6549,
Gnathonemus,longibarbis,33.93,0.6584,
Gnathonemus,longibarbis,36.69,0.6549,
Gnathonemus,longibarbis,38.24,0.6941,
Gnathonemus,longibarbis,50.08,0.8851,
Gnathonemus,longibarbis,86.4,1.159,
Gnathonemus,longibarbis,98.9,1.3089,
Gnathonemus,petersii,26.09,0.53,
Gnathonemus,petersii,5.85,0.177,
Marcusenius,victoriae,1.34,0.0829,
Marcusenius,victoriae,1.41,0.0907,
Marcusenius,victoriae,1.88,0.1085,
Marcusenius,victoriae,1.79,0.1169,
Marcusenius,victoriae,2.79,0.1232,
Marcusenius,victoriae,4.53,0.1491,
Marcusenius,victoriae,6.54,0.2113,
Marcusenius,victoriae,8.84,0.2437,
Marcusenius,victoriae,10.07,0.2542,
Marcusenius,victoriae,11.11,0.2917,
Marcusenius,victoriae,12.99,0.3043,
Mormyrus,kannume,131.52,2.1857,
Mormyrus,kannume,180.51,2.9854,
Mormyrus,kannume,204.5,3.0012,
Mormyrus,kannume,208.93,2.2678,
Mormyrus,kannume,236.7,2.0512,
Mormyrus,kannume,239.17,2.3534,
Mormyrus,kannume,277.97,2.7002,
Mormyrus,kannume,318.13,3.4435,
Mormyrus,kannume,342.06,3.7273,
Mormyrus,kannume,432.12,4.3222,
Petrocephalus,catostoma,0.34,0.0252,
Petrocephalus,catostoma,0.7,0.0367,
Petrocephalus,catostoma,0.96,0.0431,
Petrocephalus,catostoma,1.52,0.0426,
Petrocephalus,catostoma,2.11,0.0468,
Petrocephalus,catostoma,2.38,0.0515,
Petrocephalus,catostoma,2.78,0.0537,
Petrocephalus,catostoma,2.85,0.0591,
Petrocephalus,catostoma,3.22,0.0704,
Pollimyrus,isidori,2.07,0.115,
Chitala,chitala,11.13,0.19,
Osteoglossum,bicirrhosum,275,1.703,
Scleropages,formosus,11,0.3,
Scleropages,formosus,13.8,0.266,
Scleropages,jardinii,17.3,0.3,
Scleropages,jardinii,12.5,0.194,
Scleropages,jardinii,21.6,0.271,
Scleropages,jardinii,5.9,0.177,
Scleropages,jardinii,12.5,0.2,12.3
Acanthurus,achilles,140,0.489,
Acanthurus,achilles,330,0.64,
Acanthurus,bahianus,66.9,0.402,
Acanthurus,bahianus,145,0.488,
Acanthurus,bahianus,107,0.405,
Acanthurus,chirurgus,35,0.218,
Acanthurus,coeruleus,118,0.49,
Acanthurus,dussumieri,185,0.505,
Acanthurus,dussumieri,229,0.557,
Acanthurus,dussumieri,940,0.956,
Acanthurus,guttatus,288,0.662,
Acanthurus,leucopareius,227,0.519,
Acanthurus,leucosternon,310,0.596,
Acanthurus,lineatus,257,0.549,
Acanthurus,lineatus,300,0.579,
Acanthurus,mata,27,0.202,
Acanthurus,mata,90.6,0.378,
Acanthurus,mata,113,0.359,
Acanthurus,mata,213,0.466,
Acanthurus,mata,282,0.534,
Acanthurus,mata,810,0.964,
Acanthurus,nigricans,100,0.457,
Acanthurus,nigricans,428,0.638,
Acanthurus,nigricauda,265,0.4,
Acanthurus,nigrofuscus,12.7,0.118,
Acanthurus,nigrofuscus,17,0.198,
Acanthurus,nigrofuscus,73,0.251,
Acanthurus,nigrofuscus,93,0.303,
Acanthurus,nigroris,98.7,0.373,
Acanthurus,olivaceus,244,0.602,
Acanthurus,olivaceus,298,0.631,
Acanthurus,olivaceus,347,0.643,
Acanthurus,pyroferus,154,0.404,
Acanthurus,thompsoni,125,0.344,
Acanthurus,thompsoni,173,0.392,
Acanthurus,triostegus,116,0.255,
Acanthurus,triostegus,30.5,0.202,
Acanthurus,triostegus,76,0.245,
Acanthurus,triostegus,77,0.275,
Acanthurus,triostegus,64.18,0.271,
Acanthurus,xanthopterus,25.1,0.188,
Acanthurus,xanthopterus,39.9,0.277,
Acanthurus,xanthopterus,89.5,0.304,
Acanthurus,xanthopterus,307,0.608,
Acanthurus,xanthopterus,322,0.547,
Acanthurus,xanthopterus,3280,1.35,
Ctenochaetus,binotatus,40,0.247,13
Ctenochaetus,binotatus,57,0.243,15
Ctenochaetus,striatus,156,0.333,20.5
Ctenochaetus,striatus,219,0.396,22.5
Ctenochaetus,striatus,94.8,0.272,
Ctenochaetus,strigosus,113,0.3,17
Naso,brevirostris,610,1.122,40.5
Naso,hexacanthus,198,0.666,24
Naso,lituratus,183,0.79,
Naso,lituratus,279,0.846,
Naso,lituratus,355,0.764,26.7
Naso,lituratus,790,0.733,
Naso,unicornis,340,0.665,25.5
Naso,vlamingii,1220,1.352,53
Zebrasoma,flavescens,33.5,0.193,11.7
Zebrasoma,flavescens,61,0.289,13.6
Zebrasoma,flavescens,88.5,0.283,15.7
Zebrasoma,scopas,34.4,0.214,
Zebrasoma,scopas,81.3,0.282,14
Zebrasoma,velifer,125,0.345,17.2
Zebrasoma,velifer,310,0.495,23.8
Zebrasoma,velifer,680,0.655,31
Zebrasoma,velifer,680,0.662,32
Ammodytes,marinus,4.3,0.015,
Ammodytes,marinus,4.7,0.016,
Ammodytes,marinus,100,0.12,
Hyperoplus,lanceolatus,13.5,0.0449,
Hyperoplus,lanceolatus,19.1,0.0499,
Anarhichas,denticulatus,2900,0.272,
Anarhichas,denticulatus,3500,0.301,
Anarhichas,denticulatus,6000,0.346,
Anarhichas,denticulatus,6700,0.434,
Anarhichas,denticulatus,10500,0.637,
Anarhichas,lupus,20,0.108,
Anarhichas,lupus,40,0.118,
Anarhichas,lupus,47,0.145,
Anarhichas,lupus,95,0.177,
Anarhichas,lupus,130,0.224,
Anarhichas,lupus,170,0.234,
Anarhichas,lupus,200,0.227,
Anarhichas,lupus,300,0.277,
Anarhichas,lupus,510,0.253,
Anarhichas,lupus,520,0.302,
Anarhichas,lupus,690,0.374,
Anarhichas,lupus,800,0.318,
Anarhichas,lupus,1100,0.339,
Anarhichas,lupus,1140,0.452,
Anarhichas,lupus,1260,0.5,
Anarhichas,lupus,1300,0.445,
Anarhichas,lupus,1540,0.499,
Anarhichas,lupus,1680,0.552,
Anarhichas,lupus,1980,0.5,
Anarhichas,lupus,2250,0.68,
Anarhichas,lupus,2500,0.601,
Anarhichas,minor,2250,0.458,
Anarhichas,minor,2600,0.607,
Anarhichas,minor,2800,0.532,
Anarhichas,minor,4750,0.691,
Anarhichas,minor,5400,0.708,
Anarhichas,minor,6400,0.754,
Anarhichas,minor,6900,0.532,
Anarhichas,minor,9400,0.585,
Anarhichas,minor,10600,0.7885,
Anarhichas,minor,11000,0.744,
Anarhichas,minor,21000,0.967,
Amioides,polyacanthus,85,0.307,
Apogon,coccineus,0.9,0.016,
Apogon,coccineus,1.7,0.02,4.1
Apogon,exostigma,14.85,0.084,
Apogon,kallopterus,22.8,0.123,
Apogon,maculatus,9.8,0.05,
Apogon,semiornatus,14.3,0.033,
Apogonichthyoides,timorensis,11.1,0.074,
Archamia,fucata,5.7,0.049,
Cheilodipterus,arabicus,68,0.187,16.8
Cheilodipterus,lachneri,25,0.123,12.5
Cheilodipterus,macrodon,13.2,0.093,10.2
Cheilodipterus,macrodon,21.93,0.108,
Cheilodipterus,novemstriatus,3.9,0.041,
Cheilodipterus,quinquelineatus,208,0.348,
Fowleria,aurita,2.8,0.027,
Antennablennius,australis,1.4,0.0138,5.7
Blenniella,chrysospilos,1.1,0.0155,5.2
Blenniella,paula,9,0.0508,
Blenniella,periophthalmus,12,0.0421,8
Lipophrys,pholis,4.6,0.035,8.2
Lipophrys,pholis,4.7,0.037,8
Lipophrys,pholis,4.9,0.041,8
Lipophrys,pholis,4.9,0.039,8.4
Lipophrys,pholis,5,0.044,8.2
Lipophrys,pholis,5,0.04,8.3
Lipophrys,pholis,5.8,0.042,8.4
Lipophrys,pholis,7,0.043,
Lipophrys,pholis,7.1,0.045,9.2
Lipophrys,pholis,7.1,0.046,
Lipophrys,pholis,7.3,0.048,9.2
Lipophrys,pholis,7.5,0.05,9.2
Lipophrys,pholis,7.6,0.043,9.6
Lipophrys,pholis,7.7,0.045,9.1
Lipophrys,pholis,8.1,0.049,9.5
Lipophrys,pholis,8.1,0.05,9.4
Lipophrys,pholis,8.2,0.047,9.5
Lipophrys,pholis,8.4,0.053,
Lipophrys,pholis,8.5,0.05,9.8
Lipophrys,pholis,8.6,0.054,9.7
Lipophrys,pholis,8.7,0.051,
Lipophrys,pholis,9.3,0.05,10.2
Lipophrys,pholis,9.9,0.05,10
Lipophrys,pholis,10.6,0.053,10.5
Lipophrys,pholis,11.2,0.058,10.7
Lipophrys,pholis,11.6,0.068,10.9
Lipophrys,pholis,12.4,0.056,
Lipophrys,pholis,17,0.065,11.7
Lipophrys,pholis,17.9,0.075,12.1
Lipophrys,pholis,24.5,0.07,13.1
Lipophrys,pholis,25,0.096,14
Lipophrys,pholis,4.2,0.037,7.7
Meiacanthus,anema,0.4,0.0076,
Parablennius,gattorugine,16.5,0.059,10.8
Parablennius,gattorugine,42.2,0.097,
Parablennius,gattorugine,42.9,0.102,
Parablennius,gattorugine,44.1,0.09,15.6
Parablennius,gattorugine,47.4,0.104,16.8
Parablennius,gattorugine,47.7,0.104,16.4
Parablennius,gattorugine,52,0.093,15.9
Parablennius,gattorugine,54.2,0.128,17.4
Parablennius,gattorugine,54.6,0.093,16.9
Parablennius,gattorugine,57.2,0.119,16.6
Parablennius,gattorugine,59.2,0.109,17.6
Parablennius,gattorugine,59.4,0.103,17.2
Parablennius,gattorugine,64.9,0.11,17.5
Parablennius,gattorugine,65.3,0.118,17.5
Parablennius,gattorugine,67.9,0.111,18
Parablennius,gattorugine,73,0.115,18.6
Parablennius,gattorugine,74,0.131,18.8
Parablennius,gattorugine,75,0.138,19
Parablennius,gattorugine,84.2,0.136,19.1
Parablennius,gattorugine,109,0.153,21.2
Parablennius,sanguinolentus,40,0.077,15.5
Parablennius,sanguinolentus,52,0.125,16.6
Salarias,fasciatus,9,0.057,9.7
Salarias,fasciatus,9.87,0.056,
Brama,brama,1850,1.261,
Caesio,caerulaurea,290,0.6984,
Caesio,cuning,335,0.611,
Pterocaesio,digramma,106,0.424,
Pterocaesio,digramma,210,0.726,
Pterocaesio,pisang,195,0.728,
Callionymus,grossi,23,0.068,
Callionymus,lyra,20.9,0.059,14.5
Callionymus,lyra,25.7,0.062,15.5
Callionymus,lyra,26.1,0.071,15.3
Callionymus,lyra,30.8,0.07,16.2
Callionymus,lyra,36.5,0.067,15.4
Callionymus,lyra,40,0.0747,
Callionymus,lyra,50,0.11,23
Callionymus,lyra,71,0.161,24.5
Callionymus,lyra,80,0.157,24
Callionymus,lyra,200,0.19,
Callionymus,lyra,1.1,0.014,
Callionymus,lyra,1.7,0.0242,6.7
Callionymus,lyra,1.9,0.0202,6.5
Callionymus,lyra,2,0.0214,6.6
Callionymus,lyra,2.3,0.021,6.3
Callionymus,lyra,2.3,0.022,6.8
Callionymus,lyra,2.3,0.0264,7
Callionymus,lyra,2.5,0.0267,7.5
Callionymus,lyra,2.7,0.02,6.9
Callionymus,lyra,3,0.0292,8
Callionymus,lyra,3.2,0.026,8
Callionymus,lyra,3.3,0.0258,
Callionymus,lyra,3.3,0.0283,8
Callionymus,lyra,3.9,0.0294,
Callionymus,lyra,4,0.0313,
Callionymus,lyra,4.1,0.0325,8.8
Callionymus,lyra,4.4,0.0298,8.5
Callionymus,lyra,4.4,0.031,8.6
Callionymus,lyra,4.6,0.0252,8.8
Callionymus,lyra,4.9,0.0287,
Callionymus,lyra,5.3,0.0338,9
Callionymus,lyra,5.4,0.0299,9.1
Callionymus,lyra,5.6,0.0318,
Callionymus,lyra,5.7,0.0351,9.6
Callionymus,lyra,6.8,0.0403,
Callionymus,lyra,7.8,0.0388,
Callionymus,lyra,11.2,0.0457,11.4
Callionymus,lyra,11.7,0.0439,11.7
Callionymus,lyra,15.1,0.0489,12.6
Callionymus,lyra,15.5,0.0503,13.2
Callionymus,lyra,15.6,0.054,13.1
Callionymus,maculatus,9,0.0514,15
Callionymus,maculatus,10,0.0615,16
Callionymus,maculatus,16,0.0594,
Callionymus,maculatus,18,0.0554,17
Callionymus,maculatus,20,0.049,13
Callionymus,maculatus,8,0.0453,
Callionymus,sublaevis,19.5,0.067,14.3
Capros,aper,17,0.16,11.5
Capros,aper,22,0.172,12
Capros,aper,30,0.152,12.2
Capros,aper,35,0.156,12
Capros,aper,60,0.308,17
Capros,aper,10,0.084,
Alepes,djedaba,120,0.504,
Atule,mate,250,0.661,30
Carangoides,bartholomaei,4274,7.56,
Carangoides,bartholomaei,4812,4.72,
Carangoides,bartholomaei,57.6,0.44,
Carangoides,chrysophrys,140,0.58,
Carangoides,equula,215,1.139,
Carangoides,fulvoguttatus,6200,2.934,
Caranx,hippos,2305,2.97,
Caranx,ignobilis,3200,1.906,
Caranx,lugubris,4160,2.78,65
Caranx,lugubris,15500,4.64,98
Caranx,melampygus,980,1.389,43
Caranx,melampygus,1920,2.535,54.5
Caranx,melampygus,2000,2.819,
Caranx,melampygus,2500,2.937,59
Caranx,melampygus,2775,2.77,59.5
Caranx,melampygus,4830,3.029,
Caranx,melampygus,6500,3.295,69
Caranx,melampygus,70.3,0.432,18
Caranx,melampygus,102,0.537,19.5
Caranx,melampygus,175,0.712,22.5
Caranx,sexfasciatus,915,1.748,43
Decapterus,macrosoma,150,0.785,25.5
Decapterus,muroadsi,225,0.978,27.4
Decapterus,tabl,460,1.492,
Parastromateus,niger,400,0.666,
Selar,crumenophthalmus,135,0.574,23.3
Selar,crumenophthalmus,186,0.66,24.7
Selar,crumenophthalmus,240,1.214,29
Selaroides,leptolepis,450,1.289,
Selaroides,leptolepis,12,0.111,
Selaroides,leptolepis,13,0.133,
Selaroides,leptolepis,61,0.278,
Seriola,rivoliana,4000,3.395,76.5
Seriola,rivoliana,6400,3.556,81.5
Seriolina,nigrofasciata,5600,2.554,77.5
Trachinotus,ovatus,8504,3.08,
Lepomis,cyanellus,82,0.1137,
Lepomis,gibbosus,29.3,0.138,
Lepomis,gibbosus,29.4,0.143,
Centrolophus,niger,775,0.321,45
Centrolophus,niger,775,0.378,
Centrolophus,niger,920,0.38,48
Centrolophus,niger,1350,0.372,55
Schedophilus,medusophagus,2050,0.385,55
Cepola,macrophthalma,20,0.073,26
Cepola,macrophthalma,30,0.1,34
Chaetodon,auriga,170.4,0.4547,
Chaetodon,auriga,178,0.452,
Chaetodon,auriga,112,0.397,
Chaetodon,auriga,115,0.373,
Chaetodon,auriga,126,0.388,
Chaetodon,austriacus,94.1,0.2829,
Chaetodon,austriacus,20,0.114,
Chaetodon,austriacus,62,0.214,
Chaetodon,baronessa,102.6,0.2257,
Chaetodon,baronessa,79,0.2,
Chaetodon,bennetti,68.7,0.27,
Chaetodon,capistratus,13.5,0.143,
Chaetodon,capistratus,22.5,0.188,
Chaetodon,citrinellus,72.6,0.2905,
Chaetodon,citrinellus,42,0.223,
Chaetodon,collare,125.8,0.37,
Chaetodon,collare,20.5,0.153,
Chaetodon,decussatus,99,0.3119,
Chaetodon,decussatus,7.5,0.083,6.5
Chaetodon,dolosus,71.8,0.3126,
Chaetodon,dolosus,31,0.226,
Chaetodon,dolosus,32,0.251,
Chaetodon,ephippium,152.7,0.4255,
Chaetodon,ephippium,141,0.45,
Chaetodon,ephippium,151,0.395,
Chaetodon,ephippium,166,0.416,
Chaetodon,ephippium,124.88,0.377,
Chaetodon,fasciatus,110.9,0.471,
Chaetodon,fasciatus,182,0.409,
Chaetodon,fasciatus,67,0.379,
Chaetodon,flavirostris,116.75,0.4544,
Chaetodon,flavirostris,26.7,0.222,
Chaetodon,flavirostris,120,0.484,
Chaetodon,kleinii,43.5,0.2145,
Chaetodon,kleinii,40.3,0.195,
Chaetodon,kleinii,21.4,0.155,
Chaetodon,kleinii,25.5,0.158,
Chaetodon,lunula,130,0.486,
Chaetodon,lunula,146,0.47,
Chaetodon,lunula,137.75,0.478,
Chaetodon,melannotus,67.5,0.3227,
Chaetodon,melannotus,20,0.176,
Chaetodon,melannotus,40,0.142,
Chaetodon,mertensii,53.2,0.247,
Chaetodon,mertensii,24,0.178,
Chaetodon,mertensii,24.2,0.154,
Chaetodon,miliaris,89.8,0.2884,
Chaetodon,miliaris,39.8,0.165,
Chaetodon,miliaris,40.9,0.192,
Chaetodon,miliaris,47.1,0.198,
Chaetodon,miliaris,53.3,0.213,
Chaetodon,miliaris,63.2,0.238,
Chaetodon,multicinctus,38,0.1963,
Chaetodon,multicinctus,28.7,0.162,
Chaetodon,multicinctus,29.4,0.185,
Chaetodon,ocellatus,55.6,0.352,
Chaetodon,ocellatus,88.53,0.372,
Chaetodon,ornatissimus,297.2,0.4927,
Chaetodon,ornatissimus,85,0.284,
Chaetodon,ornatissimus,84.35,0.313,
Chaetodon,paucifasciatus,62,0.2416,
Chaetodon,paucifasciatus,23,0.164,
Chaetodon,paucifasciatus,40,0.167,
Chaetodon,plebeius,49.4,0.2214,
Chaetodon,plebeius,17.6,0.129,
Chaetodon,quadrimaculatus,57,0.2594,
Chaetodon,quadrimaculatus,51.2,0.261,
Chaetodon,reticulatus,150.3,0.4051,
Chaetodon,reticulatus,75.5,0.317,
Chaetodon,reticulatus,140,0.366,
Chaetodon,reticulatus,81.17,0.292,
Chaetodon,speculum,73.7,0.2713,
Chaetodon,speculum,18,0.133,
Chaetodon,striatus,98,0.347,
Chaetodon,trifascialis,86.6,0.3518,
Chaetodon,trifascialis,77,0.333,14.7
Chaetodon,trifasciatus,62.5,0.2553,
Chaetodon,trifasciatus,36.5,0.198,
Chaetodon,trifasciatus,41.5,0.208,
Chaetodon,trifasciatus,45.5,0.219,
Chaetodon,ulietensis,90.2,0.3353,
Chaetodon,ulietensis,54,0.263,
Chaetodon,ulietensis,35.5,0.231,
Chaetodon,unimaculatus,95.9,0.2927,
Chaetodon,unimaculatus,25.2,0.169,
Chaetodon,unimaculatus,21,0.135,
Forcipiger,flavissimus,80.8,0.3381,
Forcipiger,flavissimus,20.9,0.191,13.6
Forcipiger,flavissimus,40.5,0.239,
Forcipiger,flavissimus,52.8,0.277,15.3
Forcipiger,flavissimus,32.6,0.244,
Forcipiger,flavissimus,52.6,0.227,14.9
Forcipiger,flavissimus,39.17,0.276,
Forcipiger,longirostris,110.3,0.359,
Forcipiger,longirostris,70.4,0.313,17.2
Hemitaurichthys,polylepis,96.8,0.3131,
Hemitaurichthys,polylepis,34.3,0.19,10.9
Heniochus,acuminatus,190.4,0.4623,
Heniochus,acuminatus,25.5,0.193,11.3
Heniochus,acuminatus,113,0.323,15.5
Heniochus,chrysostomus,174.2,0.4562,
Heniochus,chrysostomus,78.5,0.318,14
Heniochus,intermedius,291.4,0.3818,
Heniochus,monoceros,496.6,0.6141,
Heniochus,monoceros,272,0.481,20.5
Heniochus,singularius,614.1,0.6358,
Heniochus,singularius,248,0.406,20.2
Heniochus,varius,283.7,0.4977,
Heniochus,varius,95,0.308,15.6
Champsocephalus,gunnari,175,0.301,
Champsocephalus,gunnari,125,0.264,
Champsocephalus,gunnari,17,0.094,
Champsocephalus,gunnari,23,0.101,
Channichthys,rhinoceratus,150,0.304,
Channichthys,rhinoceratus,400,0.448,
Channichthys,rhinoceratus,450,0.417,
Channichthys,rhinoceratus,500,0.389,
Channa,orientalis,210,0.285,
Altolamprologus,compressiceps,7.37,0.067,
Altolamprologus,compressiceps,4.86,0.057,
Altolamprologus,compressiceps,11.33,0.068,
Altolamprologus,compressiceps,7.87,0.076,
Altolamprologus,compressiceps,5.6,0.059,
Altolamprologus,compressiceps,10.8,0.0708,
Altolamprologus,compressiceps,6.7,0.0599,
Altolamprologus,compressiceps,5.3,0.0537,
Altolamprologus,compressiceps,7.2,0.0631,
Altolamprologus,compressiceps,7.3,0.0671,
Altolamprologus,compressiceps,6.9,0.0588,
Altolamprologus,compressiceps,8.4,0.0688,
Altolamprologus,compressiceps,8.5,0.0657,
Altolamprologus,compressiceps,3.9,0.0473,
Altolamprologus,compressiceps,3.5,0.0436,
Altolamprologus,compressiceps,4.9,0.0528,
Altolamprologus,compressiceps,23.35,0.091,
Altolamprologus,compressiceps,10.5,0.0717,
Altolamprologus,compressiceps,15.6,0.0833,
Altolamprologus,compressiceps,14.5,0.0842,
Altolamprologus,compressiceps,13.6,0.081,
Altolamprologus,faciatus,7.08,0.064,
Amatitlania,nigrofasciata,34.1,0.0856,
Amatitlania,nigrofasciata,36.5,0.093,
Astronotus,ocellatus,395,0.32,
Aulonocranus,dewindti,13.2,0.088,
Aulonocranus,dewindti,7.7,0.074,
Aulonocranus,dewindti,9.69,0.074,
Aulonocranus,dewindti,11.17,0.076,
Aulonocranus,dewindti,10.63,0.085,
Aulonocranus,dewindti,13.55,0.082,
Aulonocranus,dewindti,20.4,0.1167,
Aulonocranus,dewindti,18.1,0.1373,
Aulonocranus,dewindti,17.3,0.1259,
Aulonocranus,dewindti,16.5,0.1017,
Aulonocranus,dewindti,16.8,0.1132,
Aulonocranus,dewindti,19.5,0.1082,
Aulonocranus,dewindti,15.6,0.1151,
Aulonocranus,dewindti,20.3,0.1083,
Aulonocranus,dewindti,16.6,0.123,
Aulonocranus,dewindti,18.7,0.141,
Aulonocranus,dewindti,19.3,0.119,
Aulonocranus,dewindti,21.4,0.1308,
Aulonocranus,dewindti,17.3,0.1316,
Aulonocranus,dewindti,17,0.1236,
Baileychromis,centropomoides,27.8,0.1189,
Baileychromis,centropomoides,37.6,0.1507,
Baileychromis,centropomoides,35.6,0.1501,
Baileychromis,centropomoides,43,0.1331,
Bathybates,fasciatus,182.1,0.283,
Bathybates,fasciatus,105.3,0.2017,
Bathybates,fasciatus,34.7,0.1331,
Bathybates,fasciatus,57.4,0.177,
Bathybates,fasciatus,112.2,0.2562,
Bathybates,fasciatus,98.7,0.2421,
Bathybates,fasciatus,37.4,0.145,
Bathybates,fasciatus,9.1,0.0738,
Bathybates,fasciatus,16.3,0.0995,
Bathybates,fasciatus,57.2,0.1831,
Bathybates,fasciatus,49.2,0.182,
Bathybates,ferox,50.5,0.1911,
Bathybates,ferox,63.3,0.2154,
Bathybates,ferox,53.4,0.1939,
Bathybates,ferox,64.7,0.2475,
Bathybates,ferox,66.4,0.2481,
Bathybates,ferox,51.7,0.1692,
Bathybates,leo,21.4,0.1113,
Benthochromis,tricoti,20.94,0.128,
Benthochromis,tricoti,15.9,0.105,
Benthochromis,tricoti,48.9,0.1846,
Benthochromis,tricoti,40,0.1627,
Benthochromis,tricoti,39.8,0.1636,
Benthochromis,tricoti,37.5,0.162,
Benthochromis,tricoti,40.2,0.1463,
Benthochromis,tricoti,34.3,0.1597,
Benthochromis,tricoti,35,0.1442,
Benthochromis,tricoti,40.6,0.1736,
Benthochromis,tricoti,35.2,0.1593,
Benthochromis,tricoti,42.2,0.1785,
Benthochromis,tricoti,35.3,0.1592,
Benthochromis,tricoti,38.9,0.1569,
Callochromis,melanostigma,2.58,0.045,
Callochromis,melanostigma,2.23,0.041,
Callochromis,melanostigma,2.33,0.041,
Callochromis,pleurospilus,5.73,0.062,
Callochromis,pleurospilus,6.28,0.071,
Callochromis,pleurospilus,6.75,0.062,
Callochromis,pleurospilus,4.47,0.056,
Chalinochromis,brichardi,9.1,0.0453,
Chalinochromis,brichardi,10.6,0.0569,
Chalinochromis,brichardi,14.2,0.0583,
Chalinochromis,brichardi,17.7,0.0635,
Chalinochromis,brichardi,15.2,0.0598,
Chalinochromis,brichardi,14.1,0.0545,
Chalinochromis,brichardi,7.8,0.0472,
Chalinochromis,brichardi,6.1,0.0394,
Chalinochromis,brichardi,12.3,0.0559,
Chalinochromis,brichardi,10.8,0.0501,
Chalinochromis,brichardi,6.2,0.0455,
Chalinochromis,brichardi,5.5,0.0426,
Ctenochromis,horei,11.25,0.111,
Ctenochromis,horei,7.9,0.1031,
Ctenochromis,horei,8.6,0.1032,
Ctenochromis,horei,14,0.1438,
Ctenochromis,horei,6.5,0.0948,
Ctenochromis,horei,5.5,0.0915,
Ctenochromis,horei,7.8,0.097,
Ctenochromis,horei,14.6,0.1463,
Ctenochromis,horei,33.13,0.19,
Ctenochromis,horei,34.41,0.185,
Ctenochromis,horei,16.7,0.1657,
Ctenochromis,horei,22.4,0.1365,
Ctenochromis,horei,25.8,0.1792,
Ctenochromis,horei,29.3,0.2064,
Ctenochromis,horei,13.4,0.1341,
Ctenochromis,horei,9.4,0.1079,
Ctenochromis,horei,18.2,0.1433,
Cyathopharynx,furcifer,29.55,0.128,
Cyathopharynx,furcifer,31.95,0.15,
Cyathopharynx,furcifer,12.4,0.1167,
Cyathopharynx,furcifer,20.91,0.114,
Cyathopharynx,furcifer,53.61,0.164,
Cyathopharynx,furcifer,50.5,0.1679,
Cyathopharynx,furcifer,47.2,0.154,
Cyathopharynx,furcifer,49.7,0.191,
Cyathopharynx,furcifer,32.5,0.1474,
Cyathopharynx,furcifer,34.4,0.14,
Cyathopharynx,furcifer,37.2,0.1823,
Cyathopharynx,furcifer,13.7,0.1187,
Cyathopharynx,furcifer,31.8,0.1529,
Cyathopharynx,furcifer,20.5,0.135,
Cyathopharynx,furcifer,13.5,0.1109,
Cyphotilapia,frontosa,75.51,0.24,
Cyphotilapia,frontosa,50.04,0.15,
Cyphotilapia,frontosa,74.38,0.203,
Cyphotilapia,frontosa,64.72,0.188,
Cyphotilapia,frontosa,135.46,0.245,
Cyprichromis,leptosoma,7.73,0.07,
Cyprichromis,leptosoma,5.83,0.066,
